"DateTime","Dota 2","Counter-Strike: Global Offensive","Grand Theft Auto V","PLAYERUNKNOWN'S BATTLEGROUNDS","Destiny 2"
"2018-05-18 00:00:00",741090,410765,74009,1802768
"2018-05-19 00:00:00",826910,424847,82861,1806076
"2018-05-20 00:00:00",788473,416185,77325,1681088
"2018-05-21 00:00:00",735506,397327,41163,1580484
"2018-05-22 00:00:00",718829,386506,46119,1575365
"2018-05-23 00:00:00",712164,382180,61224,1540243
"2018-05-24 00:00:00",708239,387091,61319,1558344
"2018-05-25 00:00:00",728096,406335,67345,1684366
"2018-05-26 00:00:00",793048,404882,72496,1734247
"2018-05-27 00:00:00",769700,420441,68299,1570216
"2018-05-28 00:00:00",740924,411336,61461,1483945
"2018-05-29 00:00:00",719200,403800,62202,1500954
"2018-05-30 00:00:00",706263,391231,63460,1533069
"2018-05-31 00:00:00",716262,414384,65945,1489915
"2018-06-01 00:00:00",738643,401912,70569,1625791
"2018-06-02 00:00:00",783354,398415,75999,1652570
"2018-06-03 00:00:00",765986,422310,72814,1586565
"2018-06-04 00:00:00",693319,400075,61518,1539619
"2018-06-05 00:00:00",696025,401950,60407,1586049
"2018-06-06 00:00:00",675772,401474,57988,1533823
"2018-06-07 00:00:00",732203,395399,57209,1536429
"2018-06-08 00:00:00",785040,385574,61757,1767366
"2018-06-09 00:00:00",775795,406915,67090,1724861
"2018-06-10 00:00:00",797767,401825,64986,1586492
"2018-06-11 00:00:00",753523,406801,55663,1487069
"2018-06-12 00:00:00",750215,396623,58346,1508372
"2018-06-13 00:00:00",695581,407797,57626,1506084
"2018-06-14 00:00:00",690667,396812,56667,1477682
"2018-06-15 00:00:00",796694,355709,58881,1471233
"2018-06-16 00:00:00",713520,375844,63498,1408530
"2018-06-17 00:00:00",738369,396111,69540,1495313
"2018-06-18 00:00:00",674839,391787,56443,1432449
"2018-06-19 00:00:00",658109,389800,55394,1290032
"2018-06-20 00:00:00",653552,404184,55792,1285109
"2018-06-21 00:00:00",656156,380788,57264,1359864
"2018-06-22 00:00:00",684259,388254,70522,1524462
"2018-06-23 00:00:00",737928,385005,91782,1688343
"2018-06-24 00:00:00",720726,403726,102352,1637530
"2018-06-25 00:00:00",645894,389087,99413,1578485
"2018-06-26 00:00:00",644721,381327,106303,1520207
"2018-06-27 00:00:00",646900,377047,111058,1440186
"2018-06-28 00:00:00",675706,378351,109343,1289154
"2018-06-29 00:00:00",700899,379774,115796,1356343
"2018-06-30 00:00:00",698215,371997,119712,1336887
"2018-07-01 00:00:00",706227,396799,124304,1353031
"2018-07-02 00:00:00",641938,389880,120864,1295000
"2018-07-03 00:00:00",645397,365647,117699,1297869
"2018-07-04 00:00:00",652133,399953,122427,1306329
"2018-07-05 00:00:00",649650,393703,126990,1244353
"2018-07-06 00:00:00",641501,372084,130831,1309303
"2018-07-07 00:00:00",689835,370039,133186,1335704
"2018-07-08 00:00:00",704947,420674,131670,1324480
"2018-07-09 00:00:00",641629,429650,122688,1285515
"2018-07-10 00:00:00",642048,378806,110228,1284166
"2018-07-11 00:00:00",640753,381982,106392,1277500
"2018-07-12 00:00:00",629668,403220,99593,1202176
"2018-07-13 00:00:00",653417,386670,102188,1272032
"2018-07-14 00:00:00",664150,386930,100742,1241282
"2018-07-15 00:00:00",669554,421859,102857,1250115
"2018-07-16 00:00:00",630702,410965,94387,1236782
"2018-07-17 00:00:00",638207,410387,95388,1250318
"2018-07-18 00:00:00",641427,412253,95865,1237700
"2018-07-19 00:00:00",633501,393113,95148,1252752
"2018-07-20 00:00:00",661950,379547,101280,1335064
"2018-07-21 00:00:00",706228,369377,104795,1339071
"2018-07-22 00:00:00",691282,402249,110513,1329078
"2018-07-23 00:00:00",638826,405865,107101,1255994
"2018-07-24 00:00:00",640014,395213,162602,1283262
"2018-07-25 00:00:00",631484,388536,139353,1280741
"2018-07-26 00:00:00",634774,386955,133875,1299484
"2018-07-27 00:00:00",659829,366820,131560,1307656
"2018-07-28 00:00:00",703913,370155,133091,1258122
"2018-07-29 00:00:00",694674,398283,137466,1254035
"2018-07-30 00:00:00",650729,404885,128590,1290744
"2018-07-31 00:00:00",642747,390725,129150,1271022
"2018-08-01 00:00:00",658922,384368,122688,1243027
"2018-08-02 00:00:00",651499,378118,117369,1226603
"2018-08-03 00:00:00",694766,404780,116201,1248850
"2018-08-04 00:00:00",720867,403304,120554,1243783
"2018-08-05 00:00:00",708076,426277,123560,1255623
"2018-08-06 00:00:00",664267,418671,112595,1181571
"2018-08-07 00:00:00",662379,399534,115029,1175902
"2018-08-08 00:00:00",651816,414487,109182,1073724
"2018-08-09 00:00:00",649636,400059,105809,1172262
"2018-08-10 00:00:00",644892,382492,97615,1114489
"2018-08-11 00:00:00",672937,391139,102449,1172157
"2018-08-12 00:00:00",689527,415889,107137,1184981
"2018-08-13 00:00:00",633591,406483,97775,1138388
"2018-08-14 00:00:00",633665,387909,110958,1139534
"2018-08-15 00:00:00",638170,392190,101671,1115512
"2018-08-16 00:00:00",649906,403366,94525,1090274
"2018-08-17 00:00:00",674974,392254,93955,1053776
"2018-08-18 00:00:00",749803,402196,99447,1187422
"2018-08-19 00:00:00",772173,428710,100548,1174141
"2018-08-20 00:00:00",721568,402305,89508,1097494
"2018-08-21 00:00:00",731151,391082,91787,1124698
"2018-08-22 00:00:00",718306,391082,88413,1138021
"2018-08-23 00:00:00",714113,386361,85916,1137029
"2018-08-24 00:00:00",746687,386639,87161,1174910
"2018-08-25 00:00:00",830388,408895,93323,1190514
"2018-08-26 00:00:00",799926,456907,93331,1164104
"2018-08-27 00:00:00",735872,427268,83407,1106200
"2018-08-28 00:00:00",730268,425595,83214,1106043
"2018-08-29 00:00:00",718474,423666,80197,1091043
"2018-08-30 00:00:00",709167,420600,77349,1090349
"2018-08-31 00:00:00",740862,429373,81875,1115111
"2018-09-01 00:00:00",779625,451304,89759,1099621
"2018-09-02 00:00:00",763150,454425,91648,1078927
"2018-09-03 00:00:00",678076,458145,80848,1032185
"2018-09-04 00:00:00",680541,420799,80112,1125932
"2018-09-05 00:00:00",653217,433306,78109,1005484
"2018-09-06 00:00:00",654170,430506,76466,1006844
"2018-09-07 00:00:00",706645,473064,87206,1087473
"2018-09-08 00:00:00",720464,510248,97920,1116354
"2018-09-09 00:00:00",750234,523315,95032,1039062
"2018-09-10 00:00:00",678176,494317,75873,960263
"2018-09-11 00:00:00",680447,488980,74553,958714
"2018-09-12 00:00:00",672478,473249,70905,976253
"2018-09-13 00:00:00",718562,488112,59438,1110760
"2018-09-14 00:00:00",745817,520394,81240,1115086
"2018-09-15 00:00:00",817924,549895,89571,1128795
"2018-09-16 00:00:00",827979,554058,86318,1092144
"2018-09-17 00:00:00",743726,499820,63297,1021462
"2018-09-18 00:00:00",647823,482772,63814,999769
"2018-09-19 00:00:00",650922,476273,62834,994004
"2018-09-20 00:00:00",657436,477057,61089,995711
"2018-09-21 00:00:00",707083,529496,70203,1079364
"2018-09-22 00:00:00",742887,587639,80192,1082120
"2018-09-23 00:00:00",748795,584417,84695,1125462
"2018-09-24 00:00:00",663971,520926,60606,998729
"2018-09-25 00:00:00",640752,535791,61314,989933
"2018-09-26 00:00:00",632116,526703,58944,983493
"2018-09-27 00:00:00",645311,497875,56911,943584
"2018-09-28 00:00:00",663510,525647,61791,964669
"2018-09-29 00:00:00",724490,545234,71393,983446
"2018-09-30 00:00:00",726283,573410,75978,1040164
"2018-10-01 00:00:00",648336,520380,58920,950165
"2018-10-02 00:00:00",637213,513422,59592,945733
"2018-10-03 00:00:00",634373,512932,62415,960816
"2018-10-04 00:00:00",638210,509096,60407,941269
"2018-10-05 00:00:00",670632,544025,68878,916596
"2018-10-06 00:00:00",729328,567916,77828,1055508
"2018-10-07 00:00:00",692554,544391,78090,1021057
"2018-10-08 00:00:00",631576,510312,64543,948575
"2018-10-09 00:00:00",631062,499103,63790,940820
"2018-10-10 00:00:00",623080,489270,62244,852238
"2018-10-11 00:00:00",628114,489305,61476,836300
"2018-10-12 00:00:00",685063,529774,72145,955819
"2018-10-13 00:00:00",742992,531049,81844,1023746
"2018-10-14 00:00:00",707837,521403,77744,927559
"2018-10-15 00:00:00",635567,482625,62225,876955
"2018-10-16 00:00:00",624736,466907,59100,846193
"2018-10-17 00:00:00",626512,475983,56459,835973
"2018-10-18 00:00:00",620751,475672,58137,864675
"2018-10-19 00:00:00",671770,513368,68901,938802
"2018-10-20 00:00:00",737697,535314,80233,965507
"2018-10-21 00:00:00",724945,519435,78722,944706
"2018-10-22 00:00:00",631863,465645,61409,859126
"2018-10-23 00:00:00",620438,466671,59679,803345
"2018-10-24 00:00:00",618063,482083,57627,870192
"2018-10-25 00:00:00",629209,492784,57973,860280
"2018-10-26 00:00:00",674941,525136,66448,943023
"2018-10-27 00:00:00",733166,544244,76444,961868
"2018-10-28 00:00:00",713633,543919,73608,915145
"2018-10-29 00:00:00",636624,475117,58402,852022
"2018-10-30 00:00:00",640316,460838,54483,848017
"2018-10-31 00:00:00",633942,439593,60036,821094
"2018-11-01 00:00:00",636725,473842,64873,830675
"2018-11-02 00:00:00",684285,485776,74278,899212
"2018-11-03 00:00:00",733020,506248,81304,888932
"2018-11-04 00:00:00",712997,524056,78261,871756
"2018-11-05 00:00:00",660415,446011,60602,804729
"2018-11-06 00:00:00",631000,432726,57834,798186
"2018-11-07 00:00:00",630242,428192,57833,823745
"2018-11-08 00:00:00",638852,429044,57553,797339
"2018-11-09 00:00:00",751285,478359,66978,822848
"2018-11-10 00:00:00",829011,516365,81567,867996
"2018-11-11 00:00:00",765136,492961,78323,838380
"2018-11-12 00:00:00",666748,454763,59164,783911
"2018-11-13 00:00:00",658543,471698,55749,782310
"2018-11-14 00:00:00",633295,474959,55925,792290
"2018-11-15 00:00:00",626075,480043,55126,777768
"2018-11-16 00:00:00",675501,516851,64469,842399
"2018-11-17 00:00:00",735248,546192,76019,898133
"2018-11-18 00:00:00",731799,543916,72309,858673
"2018-11-19 00:00:00",643363,488906,52557,786883
"2018-11-20 00:00:00",774815,478568,52251,795710
"2018-11-21 00:00:00",712973,456412,54961,794832
"2018-11-22 00:00:00",753533,461948,55496,799527
"2018-11-23 00:00:00",701608,496143,65834,851131
"2018-11-24 00:00:00",800975,529379,80452,897522
"2018-11-25 00:00:00",765644,514340,78940,856216
"2018-11-26 00:00:00",684496,457745,59586,792614
"2018-11-27 00:00:00",653681,463123,57788,805741
"2018-11-28 00:00:00",643599,458216,60692,810979
"2018-11-29 00:00:00",648271,458409,59529,804956
"2018-11-30 00:00:00",690311,504854,70337,884564
"2018-12-01 00:00:00",768159,534609,81851,927372
"2018-12-02 00:00:00",745843,514335,76686,898667
"2018-12-03 00:00:00",641604,458076,55820,830881
"2018-12-04 00:00:00",644531,465526,56400,832684
"2018-12-05 00:00:00",626152,463505,54858,839782
"2018-12-06 00:00:00",628314,452285,53209,840054
"2018-12-07 00:00:00",667332,688741,60245,878200
"2018-12-08 00:00:00",715125,749638,70990,912235
"2018-12-09 00:00:00",689371,740157,66879,880955
"2018-12-10 00:00:00",600095,653740,48955,831909
"2018-12-11 00:00:00",593574,631190,53436,807682
"2018-12-12 00:00:00",587364,612615,62367,813949
"2018-12-13 00:00:00",587805,608040,65334,811348
"2018-12-14 00:00:00",639379,653802,77320,878143
"2018-12-15 00:00:00",700240,685090,94685,926855
"2018-12-16 00:00:00",675118,663957,93749,908968
"2018-12-17 00:00:00",602344,607836,74997,845277
"2018-12-18 00:00:00",594422,599055,79135,852889
"2018-12-19 00:00:00",587112,596047,80424,1042110
"2018-12-20 00:00:00",705143,590125,81560,1047464
"2018-12-21 00:00:00",686395,625674,95292,1077319
"2018-12-22 00:00:00",732928,638507,106315,1119014
"2018-12-23 00:00:00",730859,608651,102832,1082613
"2018-12-24 00:00:00",633898,537230,95702,974362
"2018-12-25 00:00:00",637127,552211,99509,969929
"2018-12-26 00:00:00",641391,592111,104313,1011873
"2018-12-27 00:00:00",638887,607195,106907,995066
"2018-12-28 00:00:00",640227,623818,114180,1003214
"2018-12-29 00:00:00",676970,636931,119594,1039988
"2018-12-30 00:00:00",685819,635244,120817,1039383
"2018-12-31 00:00:00",584785,565800,118155,926175
"2019-01-01 00:00:00",630381,577546,105875,986759
"2019-01-02 00:00:00",653543,617293,104300,988726
"2019-01-03 00:00:00",645297,614938,102460,978611
"2019-01-04 00:00:00",679515,648525,111765,1037423
"2019-01-05 00:00:00",731384,671521,118732,1091897
"2019-01-06 00:00:00",698277,667843,110518,1053933
"2019-01-07 00:00:00",669920,619371,89989,970440
"2019-01-08 00:00:00",654147,604350,86862,972455
"2019-01-09 00:00:00",631040,598055,81376,973687
"2019-01-10 00:00:00",633023,601609,78989,958155
"2019-01-11 00:00:00",695608,649360,89223,1002374
"2019-01-12 00:00:00",779866,687299,103999,1069995
"2019-01-13 00:00:00",762186,657620,99759,1051360
"2019-01-14 00:00:00",714087,596411,72712,975754
"2019-01-15 00:00:00",677102,595994,72747,973809
"2019-01-16 00:00:00",675936,598740,71187,962822
"2019-01-17 00:00:00",688226,600970,70819,955166
"2019-01-18 00:00:00",726421,637700,77626,978083
"2019-01-19 00:00:00",804664,663631,91587,1022828
"2019-01-20 00:00:00",796605,665934,91149,1027389
"2019-01-21 00:00:00",724212,620408,69396,933529
"2019-01-22 00:00:00",730332,607583,71580,911478
